ID,Area,Sub Area,lat,long,Type
"
NW-88010108
","
Cumbria And Lancashire
","
Morecombe Bay
",54.105503," -3.197495
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88009982
","
Greater Manchester Merseyside And Cheshire
","
Cheshire
",53.244466," -2.671292
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88010015
","
Cumbria And Lancashire
","
North Cumbria
",54.655347," -3.221301
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88009974
","
Cumbria And Lancashire
","
North Cumbria
",54.783702," -3.430179
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88010011
","
Cumbria And Lancashire
","
Morecombe Bay
",54.353003," -3.066203
","
Freshwater – Lakes/Ponds/Reservoirs
"
"
NW-88009925
","
Greater Manchester Merseyside And Cheshire
","
Merseyside
",53.52671," -2.528521
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88009870
","
Cumbria And Lancashire
","
Morecombe Bay
",54.102135," -3.263161
","
Saline Water – Designated Bathing Beaches
"
"
NW-88010123
","
Cumbria And Lancashire
","
Morecombe Bay
",53.910301," -3.019879
","
Sewage Discharges – Final/Treated Effluent – Water Company
"
"
NW-88009866
","
Cumbria And Lancashire
","
Morecombe Bay
",54.189048," -3.288799
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009865
","
Cumbria And Lancashire
","
North Cumbria
",54.489902," -3.608563
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009859
","
Cumbria And Lancashire
","
Morecombe Bay
",54.077429," -2.860722
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009871
","
Cumbria And Lancashire
","
Morecombe Bay
",54.120768," -3.271623
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009869
","
Cumbria And Lancashire
","
Morecombe Bay
",54.094995," -3.258357
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009873
","
Cumbria And Lancashire
","
North Cumbria
",54.768012," -3.4346
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009863
","
Cumbria And Lancashire
","
Morecombe Bay
",54.218925," -3.351078
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009864
","
Cumbria And Lancashire
","
North Cumbria
",54.39526," -3.489333
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009855
","
Cumbria And Lancashire
","
Morecombe Bay
",53.881296," -3.048076
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009848
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.65317," -3.027278
","
Saline Water – Designated Bathing Beaches
"
"
NW-88009847
","
Cumbria And Lancashire
","
Ribble / Douglas
",53.607907," -3.063964
","
Saline Water – Designated Bathing Beaches
"
